0.49,0.04
0.49,0.14
0.49,0.24
0.49,0.26
0.52,0.36
0.45,0.4
0.45,0.46
0.57,0.5
0.61,0.76
0.61,0.66
0.55,0.48
0.42,0.4
0.53,0.32
0.53,0.36
0.73,0.34
0.55,0.3
0.59,0.26
0.63,0.2
0.54,0.2
0.52,0.16
0.57,0.2
0.56,0.18
0.57,0.16
0.59,0.2
0.63,0.2
0.61,0.12
1,0.14
0.75,0.1
0.59,0.12
0.76,0.08
0.64,0.06
0.54,0.04
0.59,0.04
0.49,0
0.6,0.02
0.5,0.02
0.57,0.06
0.54,0.08
0.47,0.14
0.53,0.16
0.51,0.18
0.4,0.14
0.49,0.12
0.4,0.12
0.37,0.14
0.46,0.18
0.42,0.16
0.38,0.22
0.45,0.14
0.48,0.16
0.4,0.12
0.34,0.14
0.35,0.1
0.36,0.16
0.36,0.2
0.37,0.22
0.39,0.2
0.35,0.24
0.4,0.26
0.45,0.32
0.42,0.28
0.4,0.32
0.5,0.3
0.48,0.42
0.42,0.34
0.44,0.28
0.37,0.26
0.49,0.26
0.37,0.32
0.37,0.36
0.53,0.26
0.58,0.24
0.42,0.22
0.45,0.24
0.46,0.3
0.48,0.24
0.49,0.18
0.52,0.2
0.58,0.16
0.48,0.1
0.39,0.08
0.41,0.1
0.49,0.08
0.47,0.08
0.41,0.06
0.46,0.04
0.54,0.08
0.47,0.12
0.45,0.12
0.35,0.14
0.46,0.14
0.45,0.16
0.54,0.18
0.42,0.18
0.41,0.18
0.46,1
0.42,0.38
0.4,0.18
0.61,0.18
0.5,0.2
0.41,0.2
0.41,0.24
0.39,0.32
0.39,0.34
0.31,0.42
0.33,0.62
0.33,0.58
0.34,0.58
0.4,0.52
0.36,0.52
0.43,0.48
0.37,0.48
0.31,0.34
0.32,0.36
0.33,0.32
0.37,0.32
0.39,0.36
0.33,0.32
0.37,0.3
0.36,0.3
0.44,0.32
0.52,0.24
0.39,0.24
0.39,0.26
0.42,0.3
0.47,0.22
0.41,0.14
0.5,0.18
0.35,0.16
0.54,0.12
0.47,0.12
0.43,0.18
0.41,0.16
0.48,0.16
0.32,0.12
0.45,0.1
0.46,0.1
0.38,0.1
0.43,0.08
0.48,0.1
0.37,0.12
0.38,0.1
0.37,0.16
0.35,0.16
0.54,0.16
0.39,0.16
0.28,0.16
0.4,0.16
0.48,0.18
0.39,0.18
0.42,0.14
0.51,0.2
0.54,0.2
0.32,0.08
0.41,0.2
0.46,0.3
0.47,0.36
0.33,0.48
0.34,0.58
0.35,0.46
