Web Search interest: haemophilus
United States Dec 2010 - Feb 2014

Interest over time
Week,haemophilus
North Carolina,61
Washington,61
Florida,58
Georgia,58
Texas,55
Virginia,55
New Jersey,54
Illinois,53
New York,53
California,46
Alaska,0
Alabama,0
Arkansas,0
Connecticut,0
District of Columbia,0
Delaware,0
Hawaii,0
Iowa,0
Idaho,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Mississippi,0
Montana,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Mexico,0
Nevada,0
Oklahoma,0
Oregon,0
Rhode Island,0
South Carolina,0
South Dakota,0
Utah,0
Vermont,0
West Virginia,0
Wyoming,0




Top cities for haemophilus
City,haemophilus
Philadelphia,100
Houston,52
Dallas,49
New York,49
Chicago,45
Los Angeles,37



Top searches for haemophilus
haemophilus influenzae,100
haemophilus b,25
haemophilus influenzae b,20
haemophilus vaccine,15
haemophilus influenza,10
haemophilus influenzae vaccine,10
haemophilus b vaccine,10
haemophilus ducreyi,10
haemophilus meningitis,5
haemophilus bacteria,5
haemophilus influenzae meningitis,5
haemophilus influenzae treatment,5
haemophilus pneumonia,5
haemophilus parainfluenzae,5
streptococcus pneumoniae,5
haemophilus influenzae symptoms,5
haemophilus influenza b,5
haemophilus influenzae pneumonia,5
hib vaccine,5
haemophilus gram stain,5
neisseria meningitidis,5
haemophilus b conjugate,0
pneumococcal vaccine,0



Rising searches for haemophilus
haemophilus influenzae pneumonia,+70%
haemophilus influenzae treatment,+70%
haemophilus influenzae,+50%
haemophilus influenzae vaccine,+50%
hib vaccine,+50%
haemophilus influenzae symptoms,+40%
streptococcus pneumoniae,+40%



